step,x,y
1,0.0001970416912463642,0.0005834274048002194
2,0.00019881444633771013,0.0005886191525411714
3,0.015066178931060586,0.0006489288316884446
4,0.0533886042294299,0.0010800014883471595
5,0.09817262846382051,0.003255129377082566
6,0.13421202934767018,0.0068022480207590155
7,0.18108204972506906,0.01420103353401497
8,0.22393147801475494,0.023259887936038146
9,0.2482615332196847,0.028870033057382224
10,0.2898975348535435,0.03970566356704614
11,0.3245188269241032,0.04982375246063781
12,0.36857384137584853,0.06376544406322443
13,0.4013661042125503,0.07479151404034666
14,0.4379650014113205,0.08757680053563156
15,0.47515012990654304,0.1008205688146222
16,0.5144670017072895,0.11486669636399194
17,0.5530164232823993,0.12863993750539826
18,0.592967862421171,0.14277269920213592
19,0.6290979612792987,0.15537013551639417
20,0.6639312451416143,0.16738695114755067
21,0.7077535330754843,0.1825508991952775
22,0.7716377091761552,0.20472687775987392
23,0.7779027118377753,0.20689441442972956
24,0.8158672731429751,0.22024610536440328
25,0.8523321043159345,0.23338039574903743
26,0.9083424500832281,0.25373030752781817
27,0.9277963189231354,0.26083639968217615
28,0.9686890133719828,0.2761226700862998
29,1.0095962714842337,0.29211838236897836
30,1.0393232730814554,0.30424045237561903
31,1.0762440432237008,0.3194907685287969
32,1.1211556470084325,0.33795373579437926
33,1.1514339305142776,0.35026474781292094
34,1.1876538493555877,0.36482845141290626
35,1.2264482998001995,0.3801778502705078
36,1.262091373910817,0.3939578326077502
37,1.2999863522294195,0.40824918508622293
38,1.337815230302278,0.42210236410777713
39,1.3746421215022724,0.43498113728627114
40,1.4195272399270435,0.4496442857694322
41,1.4514016147503093,0.45920256403268933
42,1.490445389490892,0.4699588331885666
43,1.5291462865126006,0.4797071635068029
44,1.5680101810522795,0.48872215968413363
45,1.6071332733556152,0.4972380528104503
46,1.657769574724408,0.5074843238338499
47,1.685862906889898,0.5128947953205635
48,1.7244838736075958,0.5203497078232523
49,1.7638115973811372,0.5281227218627033
50,1.803068542479867,0.5362704026500928
51,1.8418562099060745,0.5444102429704183
52,1.88195673392869,0.5526935822616712
53,1.9297873919171542,0.562405252746218
54,1.960566925064284,0.5684493986497722
55,2.0051794566634653,0.577001783197501
56,2.039184630865831,0.5833820809953514
57,2.0772482491317596,0.5904438197423915
58,2.1170365799254394,0.597683098290086
